name,party,office,id,gunControlDirect,gunRightsDirect,gunControlSupport,gunControlOpposed,gunRightsSupport,gunRightsOpposed,net,rank
"Connolly, Gerry",D,H,VA11,750,0,0,0,0,770,-1520,373
"Johnson, Hank",D,H,GA04,1000,0,0,0,0,743,-1743,374
"Bera, Ami",D,H,CA07,1752,0,0,0,0,0,-1752,375
"Udall, Tom",D,S,NMS2,2000,0,0,0,0,0,-2000,376
"Quigley, Mike",D,H,IL05,2000,0,0,0,0,0,-2000,377
"Garcia, Sylvia",D,H,TX29,2000,0,0,0,0,0,-2000,378
"King, Pete",R,H,NY02,6000,4950,0,0,0,1052,-2102,379
"Meeks, Gregory W",D,H,NY05,2000,0,0,0,0,252,-2252,380
"Haaland, Debra",D,H,NM01,2275,0,0,0,0,0,-2275,381
"Cardin, Ben",D,S,MDS1,2000,0,0,0,0,315,-2315,382
"Pallone, Frank Jr",D,H,NJ06,2111,0,0,0,0,256,-2367,383
"Wyden, Ron",D,S,ORS2,2500,0,0,0,0,0,-2500,384
"Bass, Karen",D,H,CA37,2500,0,0,0,0,0,-2500,385
"Frankel, Lois J",D,H,FL21,2500,0,0,0,0,0,-2500,386
"Shalala, Donna",D,H,FL27,2500,0,0,0,0,0,-2500,387
"Pingree, Chellie",D,H,ME01,2500,0,0,0,0,0,-2500,388
"Lawrence, Brenda",D,H,MI14,2500,0,0,0,0,0,-2500,389
"Cox, TJ",D,H,CA21,2324,0,0,0,0,260,-2584,390
"Schneider, Brad",D,H,IL10,2673,0,30,0,0,0,-2703,391
"Davis, Susan",D,H,CA53,500,0,0,0,0,2273,-2773,392
"Sherman, Brad",D,H,CA30,2500,0,0,0,0,278,-2778,393
"Schakowsky, Jan",D,H,IL09,2500,0,0,0,0,328,-2828,394
"Scott, Bobby",D,H,VA03,2500,0,0,0,0,495,-2995,395
"Sanchez, Linda",D,H,CA38,3000,0,0,0,0,0,-3000,396
"Cartwright, Matt",D,H,PA08,3000,0,0,0,0,0,-3000,397
"Thompson, Bennie G",D,H,MS02,2700,0,0,0,0,320,-3020,398
